year,segment,manuf,purchases,range,vol,speed,noise,power,length,wingspan,maxw,market_size,price
1989,"S","Bombardier",17,2028.2,269.55,473.6,83.5,15.475,14.8135,12.4385,7780.75,8804,8.677992
1989,"M","Cessna",16,2304,438,473.33,78.9,16.87,16.9,16.31,10047.67,8804,13.3071
1989,"S","Cessna",66,1925.453,271.6977,415.0407,79.82093,12.85709,14.62802,15.83395,6991.657,8804,7.056076
1989,"L","Dassault",5,3860,1267,500,81.9,31.65,20.21,19.33,20640,8804,33.64585
1989,"M","Dassault",6,3054.5,700,475,84.3,24.75,18.52,18.86,17803.5,8804,24.0356
1989,"S","Dassault",1,1900,251,492,82.2,14.4,13.86,13.08,8627.5,8804,10.30884
1989,"L","Gulfstream",32,4220,1525,505,76.8,61.6,26.92,23.72,33520.5,8804,40.29066
1989,"M","IAI",8,3110,375,465,79.1,16.2,16.94,16.64,10660,8804,12.67377
1989,"M","Raytheon",13,2955,604,456,80.9,20.7,15.6,15.66,12700,8804,16.58689
1989,"S","Raytheon",6,1751.5,305,460,88.6,13.9,14.75,13.25,7230.5,8804,8.743364
1990,"L","Bombardier",24,3365,1035,460,79.8,40.7,20.85,19.61,19550,9030,27.49844
1990,"M","Bombardier",3,2397,407,477,87,16.5,16.79,13.34,9525,9030,10.42029
1990,"S","Bombardier",24,1759.429,268,476.6786,82.56786,15.6,14.83,12.83536,7528.929,9030,8.681814
1990,"M","Cessna",9,2304,438,473.33,78.9,16.87,16.9,16.31,10047.67,9030,13.9445
1990,"S","Cessna",75,1925.353,271.7059,414.8431,79.73529,12.82902,14.62569,15.84529,6992.431,9030,7.686494
1990,"L","Dassault",10,3860,1267,500,81.9,31.65,20.21,19.33,20640,9030,32.5041
1990,"M","Dassault",11,3054.5,700,475,84.3,24.75,18.52,18.86,17803.5,9030,18.17678
1990,"L","Gulfstream",23,4220,1525,505,76.8,61.6,26.92,23.72,33520.5,9030,43.52924
1990,"M","IAI",6,3110,375,465,79.1,16.2,16.94,16.64,10660,9030,14.2984
1990,"M","Raytheon",18,2979.688,608.75,456.75,81.2,20.85,15.65125,15.66,12785,9030,17.13268
1990,"S","Raytheon",7,1751.5,305,460,88.6,13.9,14.75,13.25,7230.5,9030,8.854472
1991,"L","Bombardier",15,3387.444,1035,460.8889,79.87778,40.71667,20.85,19.61,19678.5,9416,28.97131
1991,"S","Bombardier",19,1580,268,478.25,82.325,15.6,14.83,13.0225,7347.5,9416,9.084797
1991,"M","Cessna",8,2304,438,473.33,78.9,16.87,16.9,16.31,10047.67,9416,13.53823
1991,"S","Cessna",73,1920.451,272.4902,416.5637,80.14803,12.77882,14.64627,15.85941,7016.995,9416,7.868272
1991,"L","Dassault",8,3860,1267,500,81.9,31.65,20.21,19.33,20640,9416,33.82415
1991,"M","Dassault",6,3054.5,700,475,84.3,24.75,18.52,18.86,17803.5,9416,23.79295
1991,"L","Gulfstream",15,4220,1525,505,76.8,61.6,26.92,23.72,33520.5,9416,43.62444
1991,"M","IAI",6,3110,375,465,79.1,16.2,16.94,16.64,10660,9416,15.14856
1991,"M","Raytheon",17,3122.115,636.1539,461.0769,82.93077,21.71539,15.94692,15.66,13275.38,9416,18.13675
1991,"S","Raytheon",9,1751.5,305,460,88.6,13.9,14.75,13.25,7230.5,9416,9.897113
1992,"L","Bombardier",14,3365,1035,460,79.8,40.7,20.85,19.61,19550,9797,28.42476
1992,"M","Bombardier",3,2510,453,464,70.8,20.5,17.88,13.34,10659,9797,10.71886
1992,"S","Bombardier",17,1437.273,268,479.5,82.13182,15.6,14.83,13.17136,7203.182,9797,9.496093
1992,"M","Cessna",16,2304,438,473.33,78.9,16.87,16.9,16.31,10047.67,9797,13.91932
1992,"S","Cessna",63,1921.231,271.3205,416.1987,79.82179,12.75577,14.62346,15.84333,6982.808,9797,8.152332
1992,"L","Dassault",8,3860,1267,500,81.9,31.65,20.21,19.33,20640,9797,33.11349
1992,"M","Dassault",5,3054.5,700,475,84.3,24.75,18.52,18.86,17803.5,9797,25.35225
1992,"L","Gulfstream",14,4220,1525,505,76.8,61.6,26.92,23.72,33520.5,9797,45.03477
1992,"M","IAI",3,3110,375,465,79.1,16.2,16.94,16.64,10660,9797,15.41163
1992,"M","Raytheon",18,3168.513,645.0811,462.4865,83.49459,21.9973,16.04324,15.66,13435.13,9797,21.02303
1992,"S","Raytheon",12,1751.5,305,460,88.6,13.9,14.75,13.25,7230.5,9797,10.48481
1993,"L","Bombardier",15,3365,1035,460,79.8,40.7,20.85,19.61,19550,10232,30.06432
1993,"M","Bombardier",13,2510,453,464,70.8,20.5,17.88,13.34,10659,10232,13.65409
1993,"S","Bombardier",17,1416.72,268,479.68,82.104,15.6,14.83,13.1928,7182.4,10232,9.428847
1993,"M","Cessna",19,2340.385,440.6923,474.5096,78.64616,17.325,17.09615,16.43192,10284.11,10232,14.80888
1993,"S","Cessna",78,1666.177,235,402.8137,77.80196,10.9049,13.93647,15.13255,6061.951,10232,6.498451
1993,"L","Dassault",5,3860,1267,500,81.9,31.65,20.21,19.33,20640,10232,34.91792
1993,"M","Dassault",5,3052.688,740.5,475.75,83.6875,24.94375,18.7325,18.91875,17647.56,10232,25.16541
1993,"L","Gulfstream",17,4220,1525,505,76.8,61.6,26.92,23.72,33520.5,10232,43.96958
1993,"M","IAI",4,3110,375,465,79.1,16.2,16.94,16.64,10660,10232,14.40739
1993,"M","Raytheon",17,3081.4,628.32,459.84,82.436,21.468,15.8624,15.66,13135.2,10232,20.49487
1993,"S","Raytheon",4,1751.5,305,460,88.6,13.9,14.75,13.25,7230.5,10232,10.80872
